window_idx,start,end,gdn_score,rules,suggested_sensors,label
0,,,,,,
1,0.0,60.0,10.88219145277756,,,
2,,,,,,
3,10.0,70.0,10.923592101298905,,,
4,,,,,,
5,20.0,80.0,10.369740682004936,,,
6,,,,,,
7,30.0,90.0,9.954159886367348,,,
8,,,,,,
9,40.0,100.0,9.329999832998336,,,
10,,,,,,
11,50.0,110.0,8.796333759796019,,,
12,,,,,,
13,60.0,120.0,8.296471177388943,,,
14,70.0,130.0,8.122691106549729,,,
15,80.0,140.0,8.11961983376091,,,
16,160.0,220.0,8.026780827208706,,,
17,170.0,230.0,8.1339103389704,,,
18,180.0,240.0,8.141999524124522,,,
19,190.0,250.0,8.334054932507515,,,
20,200.0,260.0,8.218468588078569,,,
21,210.0,270.0,7.998904611088016,,,
22,300.0,360.0,8.1355094068654,,,
23,310.0,370.0,7.955736402186611,,,
24,320.0,380.0,8.069223840207705,,,
25,370.0,430.0,8.384906780168711,,,
26,380.0,440.0,8.270662994012177,,,
27,390.0,450.0,8.560966773805644,,,
28,400.0,460.0,8.537801300501096,,,
29,410.0,470.0,8.479286547932324,,,
30,470.0,530.0,8.171540455739231,,,
31,480.0,540.0,8.715246698675314,,,
32,490.0,550.0,8.864254815819482,,,
33,500.0,560.0,8.944861856390926,,,
34,510.0,570.0,8.904795371948314,,,
35,520.0,580.0,9.824826707406542,,,
36,530.0,590.0,9.49950434646009,,,
37,540.0,600.0,10.180151386961596,,,
38,550.0,610.0,9.679294871012011,,,
39,560.0,620.0,9.64296919559573,,,
40,570.0,630.0,9.665925172066787,,,
41,580.0,640.0,8.537040140127381,,,
42,590.0,650.0,9.026209668188994,,,
43,600.0,660.0,8.372111093158317,,,
44,610.0,670.0,9.730833706795911,,,
45,620.0,680.0,9.420405601613025,,,
46,630.0,690.0,9.600088546850913,,,
47,640.0,700.0,10.89842373252106,,,
48,650.0,710.0,13.048743631424864,,,
49,660.0,720.0,14.247569494808769,,,
50,670.0,730.0,13.28122051013913,,,
51,680.0,740.0,13.378582327977734,,,
52,690.0,750.0,13.05270172421101,,,
53,700.0,760.0,12.384289856706788,,,
54,710.0,770.0,9.937927537935092,,,
55,720.0,780.0,9.886288189934437,,,
56,730.0,790.0,12.2897005730964,,,
57,740.0,800.0,15.096658088849008,,,
58,750.0,810.0,15.405674838572578,,,
59,760.0,820.0,15.741986555321812,,,
60,770.0,830.0,16.59193275474819,,,
61,780.0,840.0,15.420897574355823,,,
62,790.0,850.0,13.370094568089575,,,
63,800.0,860.0,11.052988215123118,,,
