note,start,end,gdn_score,rules,suggested_sensors
startup_transient,,,,,
,0.0,60.0,10.88219145277756,,
startup_transient,,,,,
,10.0,70.0,10.923592101298905,,
startup_transient,,,,,
,20.0,80.0,10.369740682004936,,
startup_transient,,,,,
,30.0,90.0,9.954159886367348,,
startup_transient,,,,,
,40.0,100.0,9.329999832998336,,
startup_transient,,,,,
,50.0,110.0,8.796333759796019,,
startup_transient,,,,,
,60.0,120.0,8.296471177388943,,
,70.0,130.0,8.122691106549729,,
,80.0,140.0,8.11961983376091,,
,160.0,220.0,8.026780827208706,,
,170.0,230.0,8.1339103389704,,
,180.0,240.0,8.141999524124522,,
,190.0,250.0,8.334054932507515,,
,200.0,260.0,8.218468588078569,,
,210.0,270.0,7.998904611088016,,
,300.0,360.0,8.1355094068654,,
,310.0,370.0,7.955736402186611,,
,320.0,380.0,8.069223840207705,,
,370.0,430.0,8.384906780168711,,
,380.0,440.0,8.270662994012177,,
,390.0,450.0,8.560966773805644,,
,400.0,460.0,8.537801300501096,,
,410.0,470.0,8.479286547932324,,
,470.0,530.0,8.171540455739231,,
,480.0,540.0,8.715246698675314,,
,490.0,550.0,8.864254815819482,,
,500.0,560.0,8.944861856390926,,
,510.0,570.0,8.904795371948314,,
,520.0,580.0,9.824826707406542,,
,530.0,590.0,9.49950434646009,,
,540.0,600.0,10.180151386961596,,
,550.0,610.0,9.679294871012013,,
,560.0,620.0,9.64296919559573,,
,570.0,630.0,9.665925172066787,,
,580.0,640.0,8.537040140127381,,
,590.0,650.0,9.026209668188994,,
,600.0,660.0,8.372111093158317,,
,610.0,670.0,9.730833706795913,,
,620.0,680.0,9.420405601613023,,
,630.0,690.0,9.600088546850913,,
,640.0,700.0,10.89842373252106,,
,650.0,710.0,13.048743631424863,,
,660.0,720.0,14.247569494808769,,
,670.0,730.0,13.28122051013913,,
,680.0,740.0,13.378582327977734,,
,690.0,750.0,13.05270172421101,,
,700.0,760.0,12.384289856706788,,
,710.0,770.0,9.937927537935092,,
,720.0,780.0,9.886288189934437,,
