start,end,gdn_score,rules,suggested_sensors
198550,198610,30.711577335839312,,
198560,198620,30.739613880101974,,
198570,198630,30.759354109642235,,
198580,198640,30.71628256170749,,
198600,198660,30.694706309851128,,
198610,198670,30.702194390587646,,
198620,198680,30.704388938964435,,
198640,198700,30.705012410399934,,
198650,198710,30.844485462630924,,
198660,198720,30.869292837988027,,
198670,198730,30.858563922966603,,
198680,198740,30.852955985089807,,
198690,198750,30.901069526755407,,
198700,198760,30.904028535070868,,
198710,198770,30.90378099447755,,
198720,198780,30.90465662645858,,
198730,198790,30.90443508198098,,
198740,198800,30.890394807327237,,
198750,198810,30.827618878904484,,
198760,198820,30.718413008247335,,
198860,198920,30.68832159808611,,
198990,199050,30.69049001000106,,
199000,199060,30.817290684352027,,
199010,199070,30.847375598120333,,
199020,199080,30.866066716474013,,
199030,199090,30.870783154610834,,
199040,199100,30.85821891026614,,
199050,199110,30.74583331307662,,
199120,199180,30.70026152696557,,
199130,199190,30.692170684617782,,
199140,199200,30.733635901822066,,
199150,199210,30.745923766410215,,
199160,199220,30.778382182433585,,
199170,199230,30.806304933719463,,
199180,199240,30.847066932005443,,
199190,199250,30.817415190257876,,
199200,199260,30.800731814290202,,
199210,199270,30.806496635082684,,
199220,199280,30.718052216633165,,
199250,199310,30.704193248450167,,
199260,199320,30.71619395635479,,
199270,199330,30.71335515564207,,
199280,199340,30.777055163352415,,
199290,199350,30.805023972008037,,
199300,199360,30.82177430174469,,
199310,199370,30.829338878228405,,
199320,199380,30.797435629423994,,
199330,199390,30.75557768962814,,
199340,199400,30.72021278170763,,
199350,199410,30.72484925913309,,
199360,199420,30.737914866022518,,
199370,199430,30.861839374393313,,
199380,199440,30.890088942875554,,
199390,199450,30.859624187268473,,
199400,199460,30.890106409848727,,
199410,199470,30.839764780730192,,
199420,199480,30.821850800530193,,
199430,199490,30.7060824712929,,
199440,199500,30.71610456916401,,
199450,199510,30.785744884774694,,
199460,199520,30.741710254494258,,
199530,199590,30.697909651446928,,
199550,199610,30.709408117238976,,
199560,199620,30.716905544494203,,
199570,199630,30.70724019577907,,
199600,199660,30.703294125789046,,
199610,199670,30.700753356416605,,
199620,199680,30.713802784588776,,
199630,199690,30.727687535658916,,
199640,199700,30.77759322786367,,
199650,199710,30.80699001044081,,
199660,199720,30.780254764563825,,
199670,199730,30.690648214904492,,
199680,199740,30.693993975411736,,
199690,199750,30.699958040527864,,
199730,199790,30.723078031646754,,
199740,199800,30.725680148653854,,
199750,199810,30.73708318577917,,
199760,199820,30.757201105297266,,
199770,199830,30.854711984502888,,
199780,199840,30.85446627412141,,
199790,199850,30.84169340339626,,
199800,199860,30.85024699614972,,
199810,199870,30.821181490799724,,
199820,199880,30.784440156962944,,
199830,199890,30.82142501104284,,
199840,199900,30.82819935358526,,
199850,199910,30.795797212133643,,
199860,199920,30.72952079922716,,
200870,200930,30.71409760389048,,
200880,200940,30.70791398443,,
201040,201100,30.71608526309448,,
201050,201110,30.723444198397637,,
201060,201120,30.750627428602265,,
201070,201130,30.741376853865994,,
201080,201140,30.752743775403342,,
201090,201150,30.734436264120138,,
201230,201290,30.889227869419003,,
201240,201300,30.807368606468835,,
201250,201310,30.713030914786305,,
201270,201330,30.74354170110956,,
201280,201340,30.73918364688105,,
201310,201370,30.767870511780394,,
201320,201380,30.843398165762405,,
201330,201390,30.764669951040446,,
201400,201460,30.79644323703534,,
201410,201470,30.939593051580502,,
201420,201480,30.97846809257725,,
201430,201490,30.94279550472395,,
201440,201500,30.89597738877401,,
201450,201510,30.767879067576516,,
201460,201520,30.800994215872596,,
201470,201530,30.744718977784427,,
201550,201610,30.68949936605726,,
201560,201620,30.753348900297848,,
201570,201630,30.747816596369475,,
201580,201640,30.728338771230316,,
201590,201650,30.78653411476484,,
201600,201660,30.873871423858468,,
201610,201670,30.870812784496657,,
201620,201680,30.864427415276896,,
201630,201690,30.786048628863572,,
201640,201700,30.771565238601056,,
201760,201820,30.733041553854537,,
201770,201830,30.75475365007498,,
201780,201840,30.741947400195098,,
201790,201850,30.735063822436437,,
201800,201860,30.711730531677752,,
201810,201870,30.694064873909134,,
201880,201940,30.779614572455124,,
201890,201950,30.83505587363097,,
201900,201960,30.873150018320597,,
201910,201970,30.87528754582566,,
201920,201980,30.833936245981494,,
201930,201990,30.78600810655196,,
201940,202000,30.75717613978628,,
201950,202010,30.741324355216722,,
201960,202020,30.740291191749797,,
201970,202030,30.69186715375747,,
201990,202050,30.708266811352196,,
202000,202060,30.705280882930584,,
202030,202090,30.68959090330272,,
202040,202100,30.740148861683572,,
202050,202110,30.737581163320456,,
202060,202120,30.69014863814897,,
202070,202130,30.745933112928917,,
202080,202140,30.70262048344943,,
202130,202190,30.737716906945064,,
202140,202200,30.827849398797465,,
202150,202210,30.806233415352075,,
202160,202220,30.806885548260333,,
202170,202230,30.800952818858526,,
