ECT,RPM,label,split,original_index
-2.34375,0.0,normal,train,0
-2.34375,0.0,normal,train,1
-2.34375,0.0,normal,train,2
-2.34375,0.0,normal,train,3
-2.34375,0.0,normal,train,4
-2.34375,0.0,normal,train,5
2.34375,0.0,normal,train,6
2.34375,0.0,normal,train,7
2.34375,0.0,normal,train,8
3.90625,0.0,normal,train,9
3.90625,0.0,normal,train,10
3.90625,0.0,normal,train,11
3.90625,0.0,normal,train,12
0.78125,0.0,normal,train,13
0.78125,0.0,normal,train,14
0.78125,0.0,normal,train,15
0.78125,0.0,normal,train,16
0.78125,0.0,normal,train,17
0.78125,0.0,normal,train,18
0.78125,0.0,normal,train,19
0.78125,0.0,normal,train,20
0.78125,0.0,normal,train,21
0.78125,0.0,normal,train,22
0.78125,0.0,normal,train,23
0.78125,0.0,normal,train,24
0.78125,0.0,normal,train,25
0.78125,0.0,normal,train,26
0.78125,0.0,normal,train,27
0.78125,0.0,normal,train,28
0.78125,0.0,normal,train,29
0.78125,0.0,normal,train,30
0.78125,0.0,normal,train,31
0.78125,0.0,normal,train,32
0.78125,0.0,normal,train,33
0.78125,0.0,normal,train,34
0.78125,0.0,normal,train,35
0.78125,0.0,normal,train,36
0.78125,0.0,normal,train,37
0.78125,0.0,normal,train,38
0.78125,0.0,normal,train,39
0.78125,0.0,normal,train,40
0.78125,0.0,normal,train,41
0.78125,0.0,normal,train,42
0.78125,0.0,normal,train,43
0.78125,0.0,normal,train,44
0.78125,0.0,normal,train,45
0.78125,0.0,normal,train,46
0.78125,0.0,normal,train,47
0.78125,0.0,normal,train,48
0.78125,0.0,normal,train,49
0.78125,0.0,normal,train,50
0.78125,0.0,normal,train,51
0.78125,0.0,normal,train,52
0.78125,0.0,normal,train,53
0.78125,0.0,normal,train,54
0.78125,0.0,normal,train,55
0.78125,0.0,normal,train,56
0.78125,0.0,normal,train,57
0.78125,0.0,normal,train,58
0.78125,0.0,normal,train,59
0.78125,0.0,normal,train,60
0.78125,0.0,normal,train,61
0.78125,0.0,normal,train,62
0.78125,0.0,normal,train,63
0.78125,0.0,normal,train,64
0.78125,0.0,normal,train,65
0.78125,0.0,normal,train,66
0.78125,0.0,normal,train,67
0.78125,0.0,normal,train,68
0.78125,0.0,normal,train,69
0.78125,0.0,normal,train,70
0.78125,0.0,normal,train,71
0.78125,0.0,normal,train,72
0.78125,0.0,normal,train,73
0.78125,0.0,normal,train,74
0.78125,0.0,normal,train,75
0.78125,0.0,normal,train,76
0.78125,0.0,normal,train,77
0.78125,0.0,normal,train,78
0.78125,0.0,normal,train,79
0.78125,0.0,normal,train,80
0.78125,0.0,normal,train,81
0.78125,0.0,normal,train,82
0.78125,0.0,normal,train,83
0.78125,0.0,normal,train,84
0.78125,0.0,normal,train,85
0.78125,0.0,normal,train,86
0.78125,0.0,normal,train,87
0.78125,0.0,normal,train,88
0.78125,0.0,normal,train,89
0.78125,0.0,normal,train,90
0.78125,0.0,normal,train,91
0.78125,0.0,normal,train,92
0.78125,0.0,normal,train,93
0.78125,0.0,normal,train,94
0.78125,0.0,normal,train,95
0.78125,0.0,normal,train,96
0.78125,0.0,normal,train,97
0.78125,0.0,normal,train,98
0.78125,0.0,normal,train,99
0.78125,0.0,normal,train,100
0.78125,0.0,normal,train,101
0.78125,0.0,normal,train,102
0.78125,0.0,normal,train,103
0.78125,0.0,normal,train,104
0.78125,0.0,normal,train,105
0.78125,0.0,normal,train,106
0.78125,0.0,normal,train,107
0.78125,0.0,normal,train,108
0.78125,0.0,normal,train,109
0.78125,0.0,normal,train,110
0.78125,0.0,normal,train,111
0.78125,0.0,normal,train,112
0.78125,0.0,normal,train,113
0.78125,0.0,normal,train,114
0.78125,0.0,normal,train,115
0.78125,0.0,normal,train,116
0.78125,0.0,normal,train,117
0.78125,0.0,normal,train,118
0.78125,0.0,normal,train,119
0.78125,0.0,normal,train,120
0.78125,0.0,normal,train,121
0.78125,0.0,normal,train,122
0.78125,0.0,normal,train,123
0.78125,0.0,normal,train,124
0.78125,0.0,normal,train,125
0.78125,0.0,normal,train,126
0.78125,0.0,normal,train,127
0.78125,0.0,normal,train,128
0.78125,0.0,normal,train,129
0.78125,0.0,normal,train,130
0.78125,0.0,normal,train,131
0.78125,0.0,normal,train,132
0.78125,0.0,normal,train,133
0.78125,0.0,normal,train,134
0.78125,0.0,normal,train,135
0.78125,0.0,normal,train,136
0.78125,0.0,normal,train,137
0.78125,0.0,normal,train,138
0.78125,0.0,normal,train,139
0.78125,0.0,normal,train,140
0.78125,0.0,normal,train,141
0.78125,0.0,normal,train,142
0.78125,0.0,normal,train,143
0.78125,0.0,normal,train,144
0.78125,0.0,normal,train,145
0.78125,0.0,normal,train,146
0.78125,0.0,normal,train,147
0.78125,0.0,normal,train,148
0.78125,0.0,normal,train,149
0.78125,0.0,normal,train,150
0.78125,0.0,normal,train,151
0.78125,0.0,normal,train,152
0.78125,0.0,normal,train,153
0.78125,0.0,normal,train,154
0.78125,0.0,normal,train,155
0.78125,0.0,normal,train,156
0.78125,0.0,normal,train,157
0.78125,0.0,normal,train,158
0.78125,0.0,normal,train,159
0.78125,0.0,normal,train,160
0.78125,0.0,normal,train,161
0.78125,0.0,normal,train,162
0.78125,0.0,normal,train,163
